aircraft,tailnumber,pilot,departure,arrival,distance_nm,duration_min,duration_hhmm,date_dep_form,date_arr_form,dep_lat,dep_lon,arr_lat,arr_lon,ac_icao_type,ac_manufacturer,ac_model,ac_category,ac_is_ga,ac_airline_name
N204CM,N204CM,cautionwake,KMRY,KSBP,99.0,74,1:14 h,2026-01-06 15:33:00,2026-01-06 16:47:00,36.58700180053711,-121.84300231933594,35.2368011475,-120.641998291,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N17105,N17105,Lyra,KEWR,SPJC,3169.0,461,7:41 h,2026-01-06 14:21:00,2026-01-06 22:03:00,40.692501,-74.168701,-12.0219,-77.114305,B752,Boeing,757-200,PASSENGER,No,United Airlines
N204CM,N204CM,PilotDeviation,KMPI,KMRY,102.0,72,1:12 h,2026-01-06 13:49:00,2026-01-06 15:02:00,37.5108985901,-120.040000916,36.58700180053711,-121.84300231933594,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
OE-EKA,OE-EKA,jimmy_carrot,LFPN,LFSN,163.0,66,1:06 h,2026-01-06 07:14:00,2026-01-06 08:20:00,48.7519,2.10619,48.692101,6.23046,TBM9,Daher,TBM 960,PASSENGER,Yes,
N204CM,N204CM,Lyra,KO24,KMPI,51.0,51,0:51 h,2026-01-06 02:19:00,2026-01-06 03:11:00,,,37.5108985901,-120.040000916,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
330003,330003,Aaron1362041,CYTR,CYOW,107.0,44,0:44 h,2026-01-06 01:42:00,2026-01-06 02:26:00,44.118900299072266,-77.5280990600586,45.322498,-75.669197,A332,Airbus,CC-330 Husky,MILITARY,No,Canadian Air Force
N204CM,N204CM,Lyra,3Q0,KO24,53.0,56,0:56 h,2026-01-06 00:59:00,2026-01-06 01:55:00,,,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N365DN,N365DN,Jay6zero,KLGA,KJFK,9.0,24,0:24 h,2026-01-06 00:48:00,2026-01-06 01:12:00,40.777199,-73.872597,40.639447,-73.779317,A321,Airbus,A321-211,PASSENGER,No,Delta Air Lines
N204CM,N204CM,alchemydc,NV11,3Q0,130.0,106,1:46 h,2026-01-05 22:06:00,2026-01-05 23:52:00,,,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N505JB,N505JB,Jay6zero,KJFK,MDST,1285.0,213,3:33 h,2026-01-05 19:27:00,2026-01-05 23:00:00,40.639447,-73.779317,19.406099319458008,-70.60469818115234,A320,Airbus,A320,PASSENGER,No,Jetblue
N204CM,N204CM,V1RotateAP,KLSV,NV11,64.0,61,1:01 h,2026-01-05 18:38:00,2026-01-05 19:39:00,36.2361984253,-115.033996582,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,Alan5234,9CO3,KLSV,323.0,208,3:28 h,2026-01-05 14:54:00,2026-01-05 18:23:00,,,36.2361984253,-115.033996582,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,Alan5234,9CO3,9CO3,0.0,8,0:08 h,2026-01-05 14:41:00,2026-01-05 14:49:00,,,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N17105,N17105,Lyra,LPFR,KEWR,3028.0,515,8:35 h,2026-01-05 13:53:00,2026-01-05 22:28:00,37.0144004822,-7.96590995789,40.692501,-74.168701,B752,Boeing,757-200,PASSENGER,No,United Airlines
N817EM,N817EM,jimmy_carrot,EPWA,EKCH,359.0,88,1:28 h,2026-01-05 10:29:00,2026-01-05 11:57:00,52.165699,20.9671,55.617900848389,12.656000137329,LJ35,Learjet,35A,PASSENGER,Yes,
N204CM,N204CM,PilotDeviation,KTEX,9CO3,66.0,57,0:57 h,2026-01-05 02:42:00,2026-01-05 03:39:00,37.9538,-107.907997,,,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N204CM,N204CM,semartinezmo,KTCC,KTEX,265.0,196,3:16 h,2026-01-04 22:42:00,2026-01-05 01:58:00,35.182800293,-103.602996826,37.9538,-107.907997,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
SP-LWA,SP-LWA,AndyV,EPWA,EGLL,793.0,156,2:36 h,2026-01-04 21:05:00,2026-01-04 23:42:00,52.165699,20.9671,51.4706,-0.461941,B738,Boeing,737-89P,PASSENGER,No,LOT Polish Airlines
N204CM,N204CM,1562477,KAMA,KTCC,93.0,64,1:04 h,2026-01-04 20:20:00,2026-01-04 21:25:00,35.219398,-101.706001,35.182800293,-103.602996826,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
EC-LRG,EC-LRG,bradfier,LPMA,LEMD,788.0,141,2:21 h,2026-01-04 18:48:00,2026-01-04 21:10:00,32.697899,-16.7745,40.471926,-3.56264,A320,Airbus,A320-214,PASSENGER,No,Iberia
N809MC,N809MC,semartinezmo,KDTW,KMIA,997.0,169,2:49 h,2026-01-04 18:29:00,2026-01-04 21:19:00,42.21377,-83.353786,25.79319953918457,-80.29060363769531,B742,Boeing,747-228F(SCD),FREIGHTER,No,Atlas Air
N817EM,N817EM,jimmy_carrot,LKPR,EPWA,281.0,93,1:33 h,2026-01-04 18:18:00,2026-01-04 19:51:00,50.100874,14.259911,52.165699,20.9671,LJ35,Learjet,35A,PASSENGER,Yes,
N204CM,N204CM,Alan5234,KOKM,KAMA,282.0,179,2:59 h,2026-01-04 17:04:00,2026-01-04 20:04:00,35.668098449707,-95.948699951172,35.219398,-101.706001,C172,Cessna,172M Skyhawk,PASSENGER,Yes,
N817EM,N817EM,jimmy_carrot,LIMF,LKPR,397.0,83,1:23 h,2026-01-04 16:34:00,2026-01-04 17:57:00,45.200802,7.64963,50.100874,14.259911,LJ35,Learjet,35A,PASSENGER,Yes,
N817EM,N817EM,jimmy_carrot,EDDS,LIMF,219.0,66,1:06 h,2026-01-04 15:23:00,2026-01-04 16:29:00,48.689899,9.22196,45.200802,7.64963,LJ35,Learjet,35A,PASSENGER,Yes,
N817EM,N817EM,jimmy_carrot,EDDC,EDDS,228.0,66,1:06 h,2026-01-04 14:10:00,2026-01-04 15:16:00,51.134123,13.767831,48.689899,9.22196,LJ35,Learjet,35A,PASSENGER,Yes,
